Artwork Title,Type,Edt Size,Mint Date,Platform,Collection Name,Collaborator/Special Type,Link,Contract Hash,Token Type,TokenID Start,Token ID End,IPFS Image,IPFS Json,Pinned?,Hosting Type,Image link
Isolation,Unique,1,4/12/20,SuperRare,,,https://superrare.com/artwork-v2/isolation-9445,0xb932a70A57673d89f4acfFBE830E8ed7f75Fb9e0,ERC-721,11/9,9445,Qmc1rZzvAUkKm4sVc8Xhz5ucf5n41rmxyjrCekQ6L7K6Bw,QmXLWyRNXnWVcJDMGwZoFDXKvPZt2HHLwENtUffHvh66rj,Y,IPFS,https://i2.seadn.io/ethereum/0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0/beb94e96e0b081f23299dc8da220c1/16beb94e96e0b081f23299dc8da220c1.gif?w=350
Immolation,Unique,1,4/12/20,SuperRare,,,https://superrare.com/artwork-v2/immolation-9446,0xb932a70A57673d89f4acfFBE830E8ed7f75Fb9e0,ERC-721,11/10,9446,QmWDFvUVCBM7vCAk7Y4PMkPEVsQ6r8n77Ss6GgXNW52Ak3,QmPrSQ5kNBp3de8t9bGXWD8st7y42womfXzcSBmYqYzU5w,Y,IPFS,https://i2.seadn.io/ethereum/0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0/36fbcd11d01e320c6d1516e4e3bf64/e936fbcd11d01e320c6d1516e4e3bf64.gif?w=350
Wired,Unique,1,4/18/20,SuperRare,,,https://superrare.com/artwork-v2/wired-9580,0xb932a70A57673d89f4acfFBE830E8ed7f75Fb9e0,ERC-721,3/24,9580,QmZZKU8DkCs9SPvJr34V33qQFVu2wxnuAbPEn2dyPex9Kq,QmXVCshEXpWC3YLLv4ddtXEwAiKe7xmsSu5ao7R5QrWK8k,Y,IPFS,https://i2.seadn.io/ethereum/0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0/3a6761d6bcf6111089d56392708f38/cb3a6761d6bcf6111089d56392708f38.gif?w=350
Distancing,Unique,1,4/20/20,PixelChain,,,https://opensea.io/assets/ethereum/0xbc0e164ee423b7800e355b012c06446e28b1a29d/1297,0xb932a70A57673d89f4acfFBE830E8ed7f75Fb9e0,ERC-721,7/20,1297,,,ONCHAIN,ONCHAIN,https://i2.seadn.io/ethereum/0xbc0e164ee423b7800e355b012c06446e28b1a29d/a70931c9659b8c6155032a895d3d76b5.png?w=1000
Waves.pxc,Unique,1,4/20/20,PixelChain,,,https://opensea.io/assets/ethereum/0xbc0e164ee423b7800e355b012c06446e28b1a29d/1284,0xd07dc4262BCDbf85190C01c996b4C06a461d2430,ERC-721,7/7,1284,,,ONCHAIN,ONCHAIN,https://i2.seadn.io/ethereum/0xbc0e164ee423b7800e355b012c06446e28b1a29d/d639d72b2798c99251ad780871921570.png?w=1000
Worship,Unique,1,4/21/20,PixelChain,,,https://opensea.io/assets/ethereum/0xbc0e164ee423b7800e355b012c06446e28b1a29d/1357,0xd07dc4262BCDbf85190C01c996b4C06a461d2430,ERC-721,9/18,1357,,,ONCHAIN,ONCHAIN,https://i2.seadn.io/ethereum/0xbc0e164ee423b7800e355b012c06446e28b1a29d/bfaf4a629068577a4705716df5bac5dc.png?w=1000
Gates,Unique,1,4/21/20,PixelChain,,,https://opensea.io/assets/ethereum/0xbc0e164ee423b7800e355b012c06446e28b1a29d/1397,0xd07dc4262BCDbf85190C01c996b4C06a461d2430,ERC-721,10/28,1397,,,ONCHAIN,ONCHAIN,https://i2.seadn.io/ethereum/0xbc0e164ee423b7800e355b012c06446e28b1a29d/a5701f74382475023b29cf0a35d84e26.png?w=1000
Split,Unique,1,4/28/20,SuperRare,,,https://superrare.com/artwork-v2/split-9781,0xb932a70A57673d89f4acfFBE830E8ed7f75Fb9e0,ERC-721,10/11,9781,QmVBVvkc5azz9HA2wmJ7st1sft3P6dvhwWeHZ79atbrQ2j,QmeB2Hb7qGqpUEN761szvRB7rtdEi5JMzreKCRUW1bAjWu,Y,IPFS,https://storage.googleapis.com/sr_prod_artworks_bucket/asset%2Fa777a95440869ae5b6983b0429c408cc987a2fd96f820093e55eeb9c022305c2.gif
Growth,Unique,1,5/10/20,SuperRare,,,https://superrare.com/artwork-v2/growth-10108,0xb932a70A57673d89f4acfFBE830E8ed7f75Fb9e0,ERC-721,9/3,10108,QmWsyAwKbcRXrq6k1Ke5fxRUa8PwW4RoUoqMwVN3z5i2ck,QmTspYBTD8SyRGyikqYAU7uKuSmqy5Z4Q6jpBjoqzioNfQ,Y,IPFS,https://i2.seadn.io/ethereum/0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0/1a337cdb007344502a5ebc9db91b58/df1a337cdb007344502a5ebc9db91b58.gif?w=350
Folders,Unique,1,5/23/20,SuperRare,,,https://superrare.com/artwork-v2/folders-10435,0xb932a70A57673d89f4acfFBE830E8ed7f75Fb9e0,ERC-721,7/26,10435,QmNzMBBYVVZT9Hiokkv8mU6VsXEh5QmrGZVKipXPpQtuZp,QmSUDtgjjTmh3h1GDTMb8FzjoJNgGsfxfyJ8J3jcQWvh59,Y,IPFS,https://i2.seadn.io/ethereum/0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0/a1e3769f9866a18a36e3109694f0cf/c1a1e3769f9866a18a36e3109694f0cf.gif?w=350
